"hump","arch one''s back"
"squinch","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"funk","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"cringe","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"shrink","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"wince","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"recoil","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"quail","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
"retract","pull away from a source of disgust or fear"
"dart","run or move very quickly or hastily; ""She dashed into the yard"""
"dash","run or move very quickly or hastily; ""She dashed into the yard"""
"scoot","run or move very quickly or hastily; ""She dashed into the yard"""
"scud","run or move very quickly or hastily; ""She dashed into the yard"""
"flash","run or move very quickly or hastily; ""She dashed into the yard"""
"shoot","run or move very quickly or hastily; ""She dashed into the yard"""
"commute","travel back and forth regularly, as between one''s place of work and home"
"shuttle","travel back and forth between two points"
"lunge","make a thrusting forward movement"
"hurl","make a thrusting forward movement"
"hurtle","make a thrusting forward movement"
"thrust","make a thrusting forward movement"
"crouch","bend one''s back forward from the waist on down; ""he crouched down""; ""She bowed before the Queen""; ""The young man stooped to pick up the girl''s purse"""
"stoop","bend one''s back forward from the waist on down; ""he crouched down""; ""She bowed before the Queen""; ""The young man stooped to pick up the girl''s purse"""
"bend","bend one''s back forward from the waist on down; ""he crouched down""; ""She bowed before the Queen""; ""The young man stooped to pick up the girl''s purse"""
"bow","bend one''s back forward from the waist on down; ""he crouched down""; ""She bowed before the Queen""; ""The young man stooped to pick up the girl''s purse"""
"incline","lower or bend (the head or upper body), as in a nod or bow; ""She inclined her head to the student"""
"squinch","crouch down"
"double","bend over or curl up, usually with laughter or pain; ""He doubled and vomited violently"""
"uncurl","move out of a curled position; ""He uncurled himself"""
"prostrate","get into a prostrate position, as in submission"
"fawn","show submission or fear"
"crawl","show submission or fear"
"creep","show submission or fear"
"cringe","show submission or fear"
"cower","show submission or fear"
"grovel","show submission or fear"
"huddle","crouch or curl up; ""They huddled outside in the rain"""
"cower","crouch or curl up; ""They huddled outside in the rain"""
"throng","press tightly together or cram; ""The crowd packed the auditorium"""
"mob","press tightly together or cram; ""The crowd packed the auditorium"""
"pack","press tightly together or cram; ""The crowd packed the auditorium"""
"pile","press tightly together or cram; ""The crowd packed the auditorium"""
"jam","press tightly together or cram; ""The crowd packed the auditorium"""
"pounce","move down on as if in an attack; ""The raptor swooped down on its prey""; ""The teacher swooped down upon the new students"""
"swoop","move down on as if in an attack; ""The raptor swooped down on its prey""; ""The teacher swooped down upon the new students"""
"stoop","descend swiftly, as if on prey; ""The eagle stooped on the mice in the field"""
"swoop","move with a sweep, or in a swooping arc"
"deviate","turn aside; turn away from"
"divert","turn aside; turn away from"
"deviate","cause to turn away from a previous or expected course; ""The river was deviated to prevent flooding"""
"perturb","cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull; ""The orbits of these stars were perturbed by the passings of a comet"""
"perturb","disturb or interfere with the usual path of an electron or atom; ""The electrons were perturbed by the passing ion"""
"shunt","provide with or divert by means of an electrical shunt"
"yaw","deviate erratically from a set course; ""the yawing motion of the ship"""
"detour","travel via a detour"
"sidetrack","wander from a direct or straight course"
"depart","wander from a direct or straight course"
"digress","wander from a direct or straight course"
"straggle","wander from a direct or straight course"
"flow","move or progress freely as if in a stream; ""The crowd flowed out of the stadium"""
"flux","move or progress freely as if in a stream; ""The crowd flowed out of the stadium"""
"transpire","pass through the tissue or substance or its pores or interstices, as of gas"
"transpirate","pass through the tissue or substance or its pores or interstices, as of gas"
"run","move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi"""
"flow","move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi"""
"feed","move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi"""
"course","move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi"""
"course","move swiftly through or over; ""ships coursing the Atlantic"""
"flow","cause to flow; ""The artist flowed the washes on the paper"""
"waste","run off as waste; ""The water wastes back into the ocean"""
"spin","stream in jets, of liquids; ""The creek spun its course through the woods"""
"pump","flow intermittently"
"spurt","gush forth in a sudden stream or jet; ""water gushed forth"""
"spirt","gush forth in a sudden stream or jet; ""water gushed forth"""
"gush","gush forth in a sudden stream or jet; ""water gushed forth"""
"spout","gush forth in a sudden stream or jet; ""water gushed forth"""
"blow","spout moist air from the blowhole; ""The whales blew"""
"whoosh","gush or squirt out; ""Oil whooshed up when the drill hit the well"""
"hiss","move with a whooshing sound"
"whoosh","move with a whooshing sound"
"whoosh","move with a sibilant sound; ""He whooshed the doors open"""
"pour","flow in a spurt; ""Water poured all over the floor"""
"regurgitate","pour or rush back; ""The blood regurgitates into the heart ventricle"""
"pour","cause to run; ""pour water over the floor"""
"effuse","pour out; ""effused brine"""
"spill","flow, run or fall out and become lost; ""The milk spilled across the floor""; ""The wine spilled onto the table"""
"decant","pour out; ""the sommelier decanted the wines"""
"pour","pour out; ""the sommelier decanted the wines"""
"stream","flow freely and abundantly; ""Tears streamed down her face"""
"stream","to extend, wave or float outward, as if in the wind; ""their manes streamed like stiff black pennants in the wind"""
"trickle","run or flow slowly, as in drops or in an unsteady stream; ""water trickled onto the lawn from the broken hose""; ""reports began to dribble in"""
"dribble","run or flow slowly, as in drops or in an unsteady stream; ""water trickled onto the lawn from the broken hose""; ""reports began to dribble in"""
"filter","run or flow slowly, as in drops or in an unsteady stream; ""water trickled onto the lawn from the broken hose""; ""reports began to dribble in"""
"drip","fall in drops; ""Water is dripping from the faucet"""
"cascade","rush down in big quantities, like a cascade"
"drain","flow off gradually; ""The rain water drains into this big vat"""
"leach","permeate or penetrate gradually; ""the fertilizer leached into the ground"""
"percolate","permeate or penetrate gradually; ""the fertilizer leached into the ground"""
"leach","cause (a liquid) to leach or percolate"
"seep","pass gradually or leak through or as if through small openings"
"ooze","pass gradually or leak through or as if through small openings"
"overflow","flow or run over (a limit or brim)"
"overrun","flow or run over (a limit or brim)"
"geyser","to overflow like a geyser"
"edge","advance slowly, as if by inches; ""He edged towards the car"""
"inch","advance slowly, as if by inches; ""He edged towards the car"""
"ratchet","move by degrees in one direction only; ""a ratcheting lopping tool"""
"elapse","pass by; ""three years elapsed"""
"lapse","pass by; ""three years elapsed"""
"pass","pass by; ""three years elapsed"""
"fly","pass away rapidly; ""Time flies like an arrow""; ""Time fleeing beneath him"""
"fell","pass away rapidly; ""Time flies like an arrow""; ""Time fleeing beneath him"""
"vanish","pass away rapidly; ""Time flies like an arrow""; ""Time fleeing beneath him"""
"break","move away or escape suddenly; ""The horses broke from the stable""; ""Three inmates broke jail""; ""Nobody can break out--this prison is high security"""
"shake","get rid of; ""I couldn''t shake the car that was following me"""
"abscond","run away; usually includes taking something or somebody along"
"bolt","run away; usually includes taking something or somebody along"
"absquatulate","run away; usually includes taking something or somebody along"
"decamp","run away; usually includes taking something or somebody along"
"levant","run off without paying a debt"
"elope","run away secretly with one''s beloved; ""The young couple eloped and got married in Las Vegas"""
"elude","escape, either physically or mentally; ""The thief eluded the police""; ""This difficult idea seems to evade her""; ""The event evades explanation"""
"evade","escape, either physically or mentally; ""The thief eluded the police""; ""This difficult idea seems to evade her""; ""The event evades explanation"""
"bilk","escape, either physically or mentally; ""The thief eluded the police""; ""This difficult idea seems to evade her""; ""The event evades explanation"""
"escape","run away from confinement; ""The convicted murderer escaped from a high security prison"""
"run","flee; take to one''s heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"scarper","flee; take to one''s heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"lam","flee; take to one''s heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"bunk","flee; take to one''s heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"escape","flee; take to one''s heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"flee","run away quickly; ""He threw down his gun and fled"""
"fly","run away quickly; ""He threw down his gun and fled"""
"skedaddle","run away, as if in a panic"
"take","head into a specified direction; ""The escaped convict took to the hills""; ""We made for the mountains"""
"make","head into a specified direction; ""The escaped convict took to the hills""; ""We made for the mountains"""
"slip","move smoothly and easily"
"vacate","leave behind empty; move out of; ""You must vacate your office by tonight"""
"empty","leave behind empty; move out of; ""You must vacate your office by tonight"""
"abandon","leave behind empty; move out of; ""You must vacate your office by tonight"""
"decamp","leave a camp; ""The hikers decamped before dawn"""
"eject","leave an aircraft rapidly, using an ejection seat or capsule"
"expand","extend in one or more directions; ""The dough expands"""
"dispread","spread abroad or out; ""The sun dispread its beams"""
"bring","take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point"""
"convey","take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point"""
"take","take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point"""
"return","bring back to the point of departure"
"track","carry on the feet and deposit; ""track mud into the house"""
"introduce","bring in a new person or object into a familiar environment; ""He brought in a new judge""; ""The new secretary introduced a nasty rumor"""
"insinuate","introduce or insert (oneself) in a subtle manner; ""He insinuated himself into the conversation of the people at the nearby table"""
"interpose","introduce; ""God interposed death"""
"church","perform a special church rite or service for; ""church a woman after childbirth"""
"tube","convey in a tube; ""inside Paris, they used to tube mail"""
"whisk","move somewhere quickly; ""The President was whisked away in his limo"""
"whisk","move quickly and nimbly; ""He whisked into the house"""
"conduct","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
"transmit","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
"convey","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
"carry","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
"channel","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
