"hump","arch one''s back"
"tantalising","arousing desire or expectation for something unattainable or mockingly out of reach; ""a tantalizing taste of success"""
"uninviting","neither attractive nor tempting"
"unattractive","not appealing to the senses; ""untempting food"""
"untempting","not appealing to the senses; ""untempting food"""
"ironed","(of linens or clothes) smoothed with a hot iron"
"pressed","compacted by ironing"
"smoothed","made smooth by ironing"
"smoothened","made smooth by ironing"
"unironed","(of linens or clothes) not ironed; ""a pile of unironed laundry""; ""wore unironed jeans"""
"wrinkled","(of linens or clothes) not ironed; ""a pile of unironed laundry""; ""wore unironed jeans"""
"roughdried","(of laundry) dried but not ironed"
"unpressed","(of clothing) not smoothed with heat"
"wrinkled","made or become wrinkled as by crushing or folding; ""tired travelers in wrinkled clothes"""
"crumpled","having wrinkles; ""crumpled paper""; ""her skirt had become creased""; ""a rumpled gray suit"""
"creased","having wrinkles; ""crumpled paper""; ""her skirt had become creased""; ""a rumpled gray suit"""
"rumpled","having wrinkles; ""crumpled paper""; ""her skirt had become creased""; ""a rumpled gray suit"""
"puckered","(used of the skin of the face) contracted into wrinkles; ""a puckered-up mouth waiting to be kissed""; ""her mischievous puckered nose"""
"unsmoothed","not having been made smooth by having hands run over the surface"
"unwrinkled","not wrinkled or creased"
"wrinkleless","not wrinkled or creased"
"isotropic","invariant with respect to direction"
"isotropous","invariant with respect to direction"
"identical","having properties with uniform values along all axes"
"anisotropic","not invariant with respect to direction; ""anisotropic crystals"""
"aeolotropic","having properties with different values along different axes"
"eolotropic","having properties with different values along different axes"
"glad","showing or causing joy and pleasure; especially made happy; ""glad you are here""; ""glad that they succeeded""; ""gave a glad shout""; ""a glad smile""; ""heard the glad news""; ""a glad occasion"""
"gladsome","experiencing or expressing gladness or joy; ""a gladsome smile""; ""a gladsome occasion"""
"happy","experiencing pleasure or joy; ""happy you are here""; ""pleased with the good news"""
"pleased","experiencing pleasure or joy; ""happy you are here""; ""pleased with the good news"""
"sad","experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti"
"bittersweet","tinged with sadness; ""a movie with a bittersweet ending"""
"depressing","causing or suggestive of sorrow or gloom; ""a gloomy outlook""; ""gloomy news"""
"depressive","causing or suggestive of sorrow or gloom; ""a gloomy outlook""; ""gloomy news"""
"gloomy","causing or suggestive of sorrow or gloom; ""a gloomy outlook""; ""gloomy news"""
"saddening","causing or suggestive of sorrow or gloom; ""a gloomy outlook""; ""gloomy news"""
"doleful","filled with or evoking sadness; ""the child''s doleful expression""; ""stared with mournful eyes""; ""mournful news"""
"mournful","filled with or evoking sadness; ""the child''s doleful expression""; ""stared with mournful eyes""; ""mournful news"""
"heavyhearted","depressed"
"melancholy","characterized by or causing or expressing sadness; ""growing more melancholy every hour""; ""her melancholic smile""; ""we acquainted him with the melancholy truth"""
"melancholic","characterized by or causing or expressing sadness; ""growing more melancholy every hour""; ""her melancholic smile""; ""we acquainted him with the melancholy truth"""
"pensive","showing pensive sadness; ""the sensitive and wistful response of a poet to the gentler phases of beauty"""
"wistful","showing pensive sadness; ""the sensitive and wistful response of a poet to the gentler phases of beauty"""
"tragic","very sad; especially involving grief or death or destruction; ""a tragic face""; ""a tragic plight""; ""a tragic accident"""
"tragical","very sad; especially involving grief or death or destruction; ""a tragic face""; ""a tragic plight""; ""a tragic accident"""
"tragicomic","manifesting both tragic and comic aspects; ""the tragicomic disparity...between''s man''s aspirations and his accomplishments""- B.R.Redman"
"tragicomical","manifesting both tragic and comic aspects; ""the tragicomic disparity...between''s man''s aspirations and his accomplishments""- B.R.Redman"
"wistful","full of longing or unfulfilled desire; ""those wistful little ads that the lovelorn place in the classifieds"""
"yearning","full of longing or unfulfilled desire; ""those wistful little ads that the lovelorn place in the classifieds"""
"joyful","full of or producing joy; ""make a joyful noise""; ""a joyful occasion"""
"beatific","experiencing or bestowing celestial joy; ""beatific peace"""
"overjoyed","extremely joyful"
"sorrowful","experiencing or marked by or expressing sorrow especially that associated with irreparable loss; ""sorrowful widows""; ""a sorrowful tale of death and despair""; ""sorrowful news""; ""even in laughter the heart is sorrowful""- Proverbs 14:13"
"anguished","experiencing intense pain especially mental pain; ""an anguished conscience""; ""a small tormented schoolboy""; ""a tortured witness to another''s humiliation"""
"tormented","experiencing intense pain especially mental pain; ""an anguished conscience""; ""a small tormented schoolboy""; ""a tortured witness to another''s humiliation"""
"tortured","experiencing intense pain especially mental pain; ""an anguished conscience""; ""a small tormented schoolboy""; ""a tortured witness to another''s humiliation"""
"bereaved","sorrowful through loss or deprivation; ""bereft of hope"""
"bereft","sorrowful through loss or deprivation; ""bereft of hope"""
"grieving","sorrowful through loss or deprivation; ""bereft of hope"""
"mourning(a)","sorrowful through loss or deprivation; ""bereft of hope"""
"sorrowing(a)","sorrowful through loss or deprivation; ""bereft of hope"""
"bitter","expressive of severe grief or regret; ""shed bitter tears"""
"brokenhearted","full of sorrow"
"heartbroken","full of sorrow"
"heartsick","full of sorrow"
"dolorous","showing sorrow"
"dolourous","showing sorrow"
"lachrymose","showing sorrow"
"tearful","showing sorrow"
"weeping","showing sorrow"
"elegiac","expressing sorrow often for something past; ""an elegiac lament for youthful ideals"""
"grievous","causing or marked by grief or anguish; ""a grievous loss""; ""a grievous cry""; ""her sigh was heartbreaking""; ""the heartrending words of Rabin''s granddaughter"""
"heartbreaking","causing or marked by grief or anguish; ""a grievous loss""; ""a grievous cry""; ""her sigh was heartbreaking""; ""the heartrending words of Rabin''s granddaughter"""
"heartrending","causing or marked by grief or anguish; ""a grievous loss""; ""a grievous cry""; ""her sigh was heartbreaking""; ""the heartrending words of Rabin''s granddaughter"""
"lamentable","an archaic word for mournful; ""tell thou the lamentable tale of me, And send the hearers weeping to their beds""- Shakespeare"
"lamenting","vocally expressing grief or sorrow or resembling such expression; ""lamenting sinners""; ""wailing mourners""; ""the wailing wind""; ""wailful bagpipes""; ""tangle her desires with wailful sonnets""- Shakespeare"
"wailing","vocally expressing grief or sorrow or resembling such expression; ""lamenting sinners""; ""wailing mourners""; ""the wailing wind""; ""wailful bagpipes""; ""tangle her desires with wailful sonnets""- Shakespeare"
"wailful","vocally expressing grief or sorrow or resembling such expression; ""lamenting sinners""; ""wailing mourners""; ""the wailing wind""; ""wailful bagpipes""; ""tangle her desires with wailful sonnets""- Shakespeare"
"lugubrious","excessively mournful"
"mournful","expressing sorrow"
"plaintive","expressing sorrow"
"sad","of things that make you feel sad; ""sad news""; ""she doesn''t like sad movies""; ""it was a very sad story""; ""When I am dead, my dearest, / Sing no sad songs for me""- Christina Rossetti"
"woebegone","affected by or full of grief or woe; ""his sorrow...made him look...haggard and...woebegone""- George du Maurier"
"woeful","affected by or full of grief or woe; ""his sorrow...made him look...haggard and...woebegone""- George du Maurier"
"joyous","full of or characterized by joy; ""felt a joyous abandon"""
"ecstatic","feeling great rapture or delight"
"enraptured","feeling great rapture or delight"
"rapturous","feeling great rapture or delight"
"rhapsodic","feeling great rapture or delight"
"elated","full of high-spirited delight"
"gleeful","full of high-spirited delight"
"joyful","full of high-spirited delight"
"jubilant","full of high-spirited delight"
"gala(a)","offering fun and gaiety; ""a gala ball after the inauguration""; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening"""
"gay","offering fun and gaiety; ""a gala ball after the inauguration""; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening"""
"festal","offering fun and gaiety; ""a gala ball after the inauguration""; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening"""
"festive","offering fun and gaiety; ""a gala ball after the inauguration""; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening"""
"merry","offering fun and gaiety; ""a gala ball after the inauguration""; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening"""
"gay","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"jocund","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"jolly","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"jovial","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"merry","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"mirthful","full of or showing high-spirited merriment; ""when hearts were young and gay""; ""a poet could not but be gay, in such a jocund company""- Wordsworth; ""the jolly crowd at the reunion""; ""jolly old Saint Nick""; ""a jovial old gentleman""; ""have a merry Christmas"""
"joyless","not experiencing or inspiring joy; ""a joyless man""; ""a joyless occasion""; ""joyless evenings"""
"funereal","suited to or suggestive of a grave or burial; ""funereal gloom""; ""hollow sepulchral tones"""
"sepulchral","suited to or suggestive of a grave or burial; ""funereal gloom""; ""hollow sepulchral tones"""
"mirthless","lacking mirth"
"unamused","lacking mirth"
"unsmiling","not smiling"
"juicy","full of juice"
"lush","full of juice; ""lush fruits""; ""succulent roast beef""; ""succulent plants with thick fleshy leaves"""
"succulent","full of juice; ""lush fruits""; ""succulent roast beef""; ""succulent plants with thick fleshy leaves"""
"sappy","abounding in sap; ""sappy maple trees""; ""sappy kindling wood"""
"juiceless","lacking juice"
"sapless","destitute of sap and other vital juices; dry; ""the rats and roaches scurrying along the sapless planks""- Norman Mailer"
"just","used especially of what is legally or ethically right or proper or fitting; ""a just and lasting peace""- A.Lincoln; ""a kind and just man""; ""a just reward""; ""his just inheritance"""
"conscionable","acceptable to your conscience"
"fitting","being precisely fitting and right; ""it is only meet that she should be seated first"""
"meet","being precisely fitting and right; ""it is only meet that she should be seated first"""
"retributive","given or inflicted in requital according to merits or deserts; ""retributive justice"""
"retributory","given or inflicted in requital according to merits or deserts; ""retributive justice"""
"vindicatory","given or inflicted in requital according to merits or deserts; ""retributive justice"""
"rightful(a)","legally valid; ""a rightful inheritance"""
"unjust","violating principles of justice; ""unjust punishment""; ""an unjust judge""; ""an unjust accusation"""
"actionable","affording grounds for legal action; ""slander is an actionable offense"""
"wrongful","not just or fair; ""a wrongful act""; ""a wrongful charge"""
"merited","properly deserved; ""a merited success"""
"condign","fitting or appropriate and deserved; used especially of punishment; ""condign censure"""
"deserved","proper and appropriate; fitting; ""richly deserved punishment""; ""due esteem"""
"due","proper and appropriate; fitting; ""richly deserved punishment""; ""due esteem"""
"unmerited","not merited or deserved; ""received an unmerited honorary degree"""
"gratuitous","without cause; ""a gratuitous insult"""
"undeserved","not deserved or earned; ""has an undeserved reputation as a coward"""
"keyed","fitted with or secured by a key; ""a keyed instrument""; ""the locks have not yet been keyed"""
"keyless","lacking or not requiring a key; ""a keyless lock operated by a series of pushbuttons"""
"kind","having or showing a tender and considerate and helpful nature; used especially of persons and their behavior; ""kind to sick patients""; ""a kind master""; ""kind words showing understanding and sympathy""; ""thanked her for her kind letter"""
"benignant","characterized by kindness and warm courtesy especially of a king to his subjects; ""our benignant king"""
"gracious","characterized by kindness and warm courtesy especially of a king to his subjects; ""our benignant king"""
"benign","of disposition or manner; ""the benign ruler of millions""; ""benign intentions"""
"charitable","showing or motivated by sympathy and understanding and generosity; ""was charitable in his opinions of others""; ""kindly criticism""; ""a kindly act""; ""sympathetic words""; ""a large-hearted mentor"""
"kindly","showing or motivated by sympathy and understanding and generosity; ""was charitable in his opinions of others""; ""kindly criticism""; ""a kindly act""; ""sympathetic words""; ""a large-hearted mentor"""
"sympathetic","showing or motivated by sympathy and understanding and generosity; ""was charitable in his opinions of others""; ""kindly criticism""; ""a kindly act""; ""sympathetic words""; ""a large-hearted mentor"""
"gentle","having or showing a kindly or tender nature; ""the gentle touch of her hand""; ""her gentle manner was comforting""; ""a gentle sensitive nature""; ""gentle blue eyes"""
"kindhearted","having or proceeding from an innately kind disposition; ""a generous and kindhearted teacher"""
"unkind","lacking kindness; ""a thoughtless and unkind remark""; ""the unkindest cut of all"""
"cutting","(of speech) harsh or hurtful in tone or character; ""cutting remarks""; ""edged satire""; ""a stinging comment"""
"edged","(of speech) harsh or hurtful in tone or character; ""cutting remarks""; ""edged satire""; ""a stinging comment"""
"stinging","(of speech) harsh or hurtful in tone or character; ""cutting remarks""; ""edged satire""; ""a stinging comment"""
"harsh","extremely unkind or cruel; ""had harsh words""; ""a harsh and unlovable old tyrant"""
"hurtful","causing hurt; ""her hurtful unconsidered words"""
"unkindly","lacking in sympathy and kindness; ""unkindly ancts"""
"unsympathetic","lacking in sympathy and kindness; ""unkindly ancts"""
"knowable","capable of being known"
"cognizable","capable of being known"
"cognisable","capable of being known"
"cognoscible","capable of being known"
"unknowable","not knowable"
"known","apprehended with certainty; ""a known quantity""; ""the limits of the known world""; ""a musician known throughout the world""; ""a known criminal"""
"celebrated","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"famed","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"famous","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"illustrious","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"notable","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"noted","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"renowned","widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter"""
"identified","having the identity known or established; ""the identified bodies were released for burial"""
"legendary","so celebrated as to having taken on the nature of a legend; ""the legendary exploits of the arctic trailblazers"""
"proverbial","widely known and spoken of; ""her proverbial lateness""; ""the proverbial absentiminded professor""; ""your proverbial dizzy blonde"""
"unknown","not known; ""an unknown amount""; ""an unknown island""; ""an unknown writer""; ""an unknown source"""
"chartless","(of unknown regions) not yet surveyed or investigated; ""uncharted seas"""
"uncharted","(of unknown regions) not yet surveyed or investigated; ""uncharted seas"""
"unmapped","(of unknown regions) not yet surveyed or investigated; ""uncharted seas"""
"unbeknown(p)","(usually used with `to'') occurring or existing without the knowledge of; ""a crisis unbeknown to me""; ""she had been ill for months, unbeknownst to the family"""
"undiagnosed","eluding diagnosis; ""undiagnosed disease"""
"undiscovered","not yet discovered; ""undiscovered islands"""
"unexplored","not yet discovered; ""undiscovered islands"""
"unidentified","not yet identified; ""an unidentifed species""; ""an unidentified witness"""
"transcendent","beyond and outside the ordinary range of human experience or understanding; ""philosophers...often explicitly reject the notion of any transcendent reality beyond thought...and claim to be concerned only with thought itself...""- W.P.Alston; ""the unknowable"
"unknowable","beyond and outside the ordinary range of human experience or understanding; ""philosophers...often explicitly reject the notion of any transcendent reality beyond thought...and claim to be concerned only with thought itself...""- W.P.Alston; ""the unknowable"
"understood","fully apprehended as to purport or meaning or explanation; ""the understood conditions of troop withdrawal were clear"""
"appreciated","fully understood or grasped; ""dangers not yet appreciated""; ""these apprehended truths""; ""a thing comprehended is a thing known as fully as it can be known"""
"apprehended","fully understood or grasped; ""dangers not yet appreciated""; ""these apprehended truths""; ""a thing comprehended is a thing known as fully as it can be known"""
"comprehended","fully understood or grasped; ""dangers not yet appreciated""; ""these apprehended truths""; ""a thing comprehended is a thing known as fully as it can be known"""
"interpreted","understood in a certain way; made sense of; ""a word taken literally""; ""a smile taken as consent""; ""an open door interpreted as an invitation"""
"taken","understood in a certain way; made sense of; ""a word taken literally""; ""a smile taken as consent""; ""an open door interpreted as an invitation"""
"ununderstood","not understood; ""should not tamely submit to the unpredictable and ununderstood cycles of wars""- Psychiatry"
"misunderstood","wrongly understood; ""a misunderstood criticism""; ""a misunderstood question"""
"undigested","not thought over and arranged systematically in the mind; not absorbed or assimilated mentally; ""an undigested mass of facts gathered at random"""
"ungrasped","not fully apprehended; ""the ungrasped infinite ground of all being""- Philip Wheelwright"
"labeled","bearing or marked with a label or tag; ""properly labeled luggage"""
"labelled","bearing or marked with a label or tag; ""properly labeled luggage"""
"tagged","bearing or marked with a label or tag; ""properly labeled luggage"""
"unlabeled","lacking a label or tag; ""unlabeled luggage is liable to be lost"""
"unlabelled","lacking a label or tag; ""unlabeled luggage is liable to be lost"""
"untagged","lacking a label or tag; ""unlabeled luggage is liable to be lost"""
"lamented","mourned or grieved for; ""the imprint of our wise and lamented friend""- A.E.Stevenson"
"unlamented","not grieved for; causing no mourning; ""interred in an unlamented grave"""
"unmourned","not grieved for; causing no mourning; ""interred in an unlamented grave"""
"land(a)","relating to or characteristic of or occurring on land; ""land vehicles"""
"onshore","on the edge of the land; ""an onshore lighthouse"""
"overland","traveling or passing over land; ""an overland journey""; ""the overland route used by Marco Polo"""
"sea(a)","relating to or characteristic of or occurring on the sea or ships; ""sea stories""; ""sea smells""; ""sea traffic"""
"oceangoing","used on the high seas; ""seafaring vessels"""
"seafaring","used on the high seas; ""seafaring vessels"""
"seagoing","used on the high seas; ""seafaring vessels"""
"oceanic","constituting or living in the open sea; ""oceanic waters""; ""oceanic life"""
"offshore","at some distance from the shore; ""offshore oil reserves""; ""an offshore island"""
"oversea","being or passing over or across the sea; ""some overseas trade in grain arose"""
"overseas","being or passing over or across the sea; ""some overseas trade in grain arose"""
"shipboard","taking place or existing on board a ship; ""a shipboard fire""; ""shipboard romances"""
"suboceanic","formed or situated or occurring beneath the ocean or the ocean bed; ""suboceanic oil resources"""
"subocean","formed or situated or occurring beneath the ocean or the ocean bed; ""suboceanic oil resources"""
"air(a)","relating to or characteristic of or occurring in the air; ""air war""; ""air safety""; ""air travel"""
"aerial","growing in air; ""aerial roots of a philodendron"""
"aerial","in or belonging to the air or operating (for or by means of aircraft or elevated cables) in the air; ""aerial particles""; ""small aerial creatures such as butterflies""; ""aerial warfare""; ""aerial photography""; ""aerial cable cars"""
"flying","of or relating to passage through the air especially aviation; ""a flying time of three hours between cities""; ""unidentified flying objects"""
"laureled","crowned with or as if with laurel symbolizing victory"
"laurelled","crowned with or as if with laurel symbolizing victory"
"crowned","crowned with or as if with laurel symbolizing victory"
"unlaureled","not crowned with laurel; having no acclaim or reward; ""the unlaureled heroism of endurance""- Francis Parkman"
"unlaurelled","not crowned with laurel; having no acclaim or reward; ""the unlaureled heroism of endurance""- Francis Parkman"
"large","above average in size or number or quantity or magnitude or extent; ""a large city""; ""set out for the big city""; ""a large sum""; ""a big (or large) barn""; ""a large family""; ""big businesses""; ""a big expenditure""; ""a large number of newspapers""; ""a big group o"
"big","above average in size or number or quantity or magnitude or extent; ""a large city""; ""set out for the big city""; ""a large sum""; ""a big (or large) barn""; ""a large family""; ""big businesses""; ""a big expenditure""; ""a large number of newspapers""; ""a big group o"
"ample","fairly large; ""a sizable fortune""; ""an ample waistline""; ""of ample proportions"""
"sizable","fairly large; ""a sizable fortune""; ""an ample waistline""; ""of ample proportions"""
"sizeable","fairly large; ""a sizable fortune""; ""an ample waistline""; ""of ample proportions"""
"astronomic","inconceivably large"
"astronomical","inconceivably large"
"galactic","inconceivably large"
"bigger","large or big relative to something else"
"larger","large or big relative to something else"
"biggest","greatest in size of those under consideration"
"greatest","greatest in size of those under consideration"
"largest","greatest in size of those under consideration"
"biggish","somewhat large"
"largish","somewhat large"
"enlarged","as of a photograph; made larger; ""the enlarged photograph revealed many details"""
"bouffant","being puffed out; used of hair style or clothing; ""a bouffant skirt"""
"puffy","being puffed out; used of hair style or clothing; ""a bouffant skirt"""
"broad","very large in expanse or scope; ""a broad lawn""; ""the wide plains""; ""a spacious view""; ""spacious skies"""
"spacious","very large in expanse or scope; ""a broad lawn""; ""the wide plains""; ""a spacious view""; ""spacious skies"""
"wide","very large in expanse or scope; ""a broad lawn""; ""the wide plains""; ""a spacious view""; ""spacious skies"""
"bulky","of large size for its weight"
"capacious","large in capacity; ""she carried a capacious bag"""
"colossal","so great in size or force or extent as to elicit awe; ""colossal crumbling ruins of an ancient temple""; ""has a colossal nerve""; ""a prodigious storm""; ""a stupendous field of grass""; ""stupendous demand"""
"prodigious","so great in size or force or extent as to elicit awe; ""colossal crumbling ruins of an ancient temple""; ""has a colossal nerve""; ""a prodigious storm""; ""a stupendous field of grass""; ""stupendous demand"""
"stupendous","so great in size or force or extent as to elicit awe; ""colossal crumbling ruins of an ancient temple""; ""has a colossal nerve""; ""a prodigious storm""; ""a stupendous field of grass""; ""stupendous demand"""
"deep","large in quantity or size; ""deep cuts in the budget"""
"double","large enough for two; ""a double bed""; ""a double room"""
"enormous","extraordinarily large in size or extent or amount or power or degree; ""an enormous boulder""; ""enormous expenses""; ""tremendous sweeping plains""; ""a tremendous fact in human experience; that a whole civilization should be dependent on technology""- Walter Li"
"tremendous","extraordinarily large in size or extent or amount or power or degree; ""an enormous boulder""; ""enormous expenses""; ""tremendous sweeping plains""; ""a tremendous fact in human experience; that a whole civilization should be dependent on technology""- Walter Li"
"cosmic","inconceivably extended in space or time"
"elephantine","of great mass; huge and bulky; ""a jumbo jet""; ""jumbo shrimp"""
"gargantuan","of great mass; huge and bulky; ""a jumbo jet""; ""jumbo shrimp"""
"giant","of great mass; huge and bulky; ""a jumbo jet""; ""jumbo shrimp"""
"jumbo","of great mass; huge and bulky; ""a jumbo jet""; ""jumbo shrimp"""
"epic","very imposing or impressive; surpassing the ordinary (especially in size or scale); ""an epic voyage""; ""of heroic proportions""; ""heroic sculpture"""
"heroic","very imposing or impressive; surpassing the ordinary (especially in size or scale); ""an epic voyage""; ""of heroic proportions""; ""heroic sculpture"""
"extensive","large in spatial extent or range; ""an extensive Roman settlement in northwest England""; ""extended farm lands"""
"extended","large in spatial extent or range; ""an extensive Roman settlement in northwest England""; ""extended farm lands"""
"gigantic","so exceedingly large or extensive as to suggest a giant or mammoth; ""a gigantic redwood""; ""gigantic disappointment""; ""a mammoth ship""; ""a mammoth multinational corporation"""
"mammoth","so exceedingly large or extensive as to suggest a giant or mammoth; ""a gigantic redwood""; ""gigantic disappointment""; ""a mammoth ship""; ""a mammoth multinational corporation"""
"great","relatively large in size or number or extent; larger than others of its kind; ""a great juicy steak""; ""a great multitude""; ""the great auk""; ""a great old oak""; ""a great ocean liner""; ""a great delay"""
"huge","unusually great in size or amount or degree or especially extent or scope; ""huge government spending""; ""huge country estates""; ""huge popular demand for higher education""; ""a huge wave""; ""the Los Angeles aqueduct winds like an immense snake along the base"
"immense","unusually great in size or amount or degree or especially extent or scope; ""huge government spending""; ""huge country estates""; ""huge popular demand for higher education""; ""a huge wave""; ""the Los Angeles aqueduct winds like an immense snake along the base"
"vast","unusually great in size or amount or degree or especially extent or scope; ""huge government spending""; ""huge country estates""; ""huge popular demand for higher education""; ""a huge wave""; ""the Los Angeles aqueduct winds like an immense snake along the base"
"hulking","of great size and bulk; ""a hulking figure of a man""; ""three hulking battleships"""
"hulky","of great size and bulk; ""a hulking figure of a man""; ""three hulking battleships"""
"humongous","(used informally) very large; ""a thumping loss"""
"banging","(used informally) very large; ""a thumping loss"""
"thumping","(used informally) very large; ""a thumping loss"""
"whopping","(used informally) very large; ""a thumping loss"""
"walloping","(used informally) very large; ""a thumping loss"""
"lifesize","being of the same size as an original; ""a life-size sculpture"""
"macro","very large in scale or scope or capability; ""`macro'' in the word `macroscopic'' is a combining form"""
"massive","imposing in size or bulk or solidity; ""massive oak doors""; ""Moore''s massive sculptures""; ""the monolithic proportions of Stalinist architecture""; ""a monumental scale"""
"monolithic","imposing in size or bulk or solidity; ""massive oak doors""; ""Moore''s massive sculptures""; ""the monolithic proportions of Stalinist architecture""; ""a monumental scale"""
"monumental","imposing in size or bulk or solidity; ""massive oak doors""; ""Moore''s massive sculptures""; ""the monolithic proportions of Stalinist architecture""; ""a monumental scale"""
"massive","imposing in scale or scope or degree or power; ""massive retaliatory power""; ""a massive increase in oil prices""; ""massive changes"""
"monstrous","abnormally large"
"mountainous","like a mountain in size and impressiveness; ""mountainous waves""; ""a mountainous dark man"""
"outsize","larger than normal for its kind"
"outsized","larger than normal for its kind"
"oversize","larger than normal for its kind"
"oversized","larger than normal for its kind"
"overlarge","excessively large"
"plumping","very large; of exceptional size for its kind; ""won by a plumping majority"""
"rangy","allowing ample room for ranging"
"super","extremely large; ""another super skyscraper"""
"titanic","of great force or power"
"volumed","formed or rising in rounded masses; ""gasping with the volumed smoke"""
"voluminous","large in volume or bulk; ""a voluminous skirt"""
"whacking","(British informal) enormous; ""a whacking phone bill""; ""a whacking lie"""
"small","limited or below average in number or quantity or magnitude or extent; ""a little dining room""; ""a little house""; ""a small car""; ""a little (or small) group""; ""a small voice"""
"little","limited or below average in number or quantity or magnitude or extent; ""a little dining room""; ""a little house""; ""a small car""; ""a little (or small) group""; ""a small voice"""
"bantam","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"diminutive","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"lilliputian","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"midget","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"petite","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"tiny","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"flyspeck","very small; ""diminutive in stature""; ""a lilliputian chest of drawers""; ""her petite figure""; ""tiny feet""; ""the flyspeck nation of Bahrain moved toward democracy"""
"bitty","(used informally) very small; ""a wee tot"""
"bittie","(used informally) very small; ""a wee tot"""
"teensy","(used informally) very small; ""a wee tot"""
"teentsy","(used informally) very small; ""a wee tot"""
"teeny","(used informally) very small; ""a wee tot"""
"wee","(used informally) very small; ""a wee tot"""
"weeny","(used informally) very small; ""a wee tot"""
"weensy","(used informally) very small; ""a wee tot"""
"dinky","small and insignificant; ""we stayed in a dinky old hotel"""
"dwarfish","atypically small; ""dwarf tree""; ""dwarf star"""
"elfin","small and delicate; ""she was an elfin creature--graceful and delicate""; ""obsessed by things elfin and small"""
"elflike","small and delicate; ""she was an elfin creature--graceful and delicate""; ""obsessed by things elfin and small"""
"gnomish","used of small deformed creatures"
"infinitesimal","infinitely or immeasurably small; ""two minute whiplike threads of protoplasm""; ""reduced to a microscopic scale"""
"minute","infinitely or immeasurably small; ""two minute whiplike threads of protoplasm""; ""reduced to a microscopic scale"""
"microscopic","infinitely or immeasurably small; ""two minute whiplike threads of protoplasm""; ""reduced to a microscopic scale"""
"least","having or being distinguished by diminutive size; ""the least bittern"""
"littlest","having or being distinguished by diminutive size; ""the least bittern"""
